"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.100000,0.019196,0.004653,-0.031283,0.000383,0.000076,-0.000032,0.001866,0.000244
0.100500,-0.004877,0.000095,-0.033915,0.000323,-0.000143,-0.000016,0.002838,-0.002026
0.101000,0.003144,0.004324,-0.028101,-0.000319,-0.000459,-0.000130,0.002838,-0.001053
0.101500,-0.010871,0.012903,-0.050832,-0.000267,0.000004,0.000011,0.001866,-0.000729
0.102000,0.007141,-0.007195,-0.027932,0.000090,-0.000151,-0.000099,0.002514,-0.001377
0.102500,-0.004914,0.002602,-0.033941,0.000385,0.000435,0.000018,0.003487,0.001217
0.103000,-0.008944,-0.006973,-0.027432,0.000287,-0.000062,-0.000103,0.004136,-0.002026
0.103500,0.003204,0.016492,-0.027014,0.000361,-0.000224,0.000104,0.004460,-0.000080
0.104000,-0.006889,0.008132,-0.017327,-0.000195,0.000090,0.000042,0.003487,0.000893
0.104500,0.009118,0.003288,-0.021445,0.000191,-0.000361,-0.000180,0.003811,-0.002999
0.105000,-0.019052,-0.010485,0.016418,0.000420,0.000020,-0.000103,0.002838,0.000568
0.105500,-0.008902,0.002440,-0.020361,0.000292,-0.000094,0.000013,0.003487,-0.001053
0.106000,-0.010941,0.015546,-0.003301,0.000415,0.000544,0.000135,0.003163,-0.000404
0.106500,0.013194,0.010353,-0.000856,-0.000002,0.000026,0.000079,0.003163,-0.000404
0.107000,0.013168,-0.001260,0.002637,0.000454,-0.000112,0.000021,0.002838,-0.002674
0.107500,-0.002874,-0.017599,-0.007063,0.000140,0.000073,0.000066,0.004136,0.000568
0.108000,-0.024896,-0.013867,-0.005992,0.000078,0.000032,0.000228,0.002514,-0.002350
0.108500,0.005158,-0.005879,-0.003871,0.000059,0.000382,0.000131,0.001866,-0.001377
0.109000,0.027279,0.009317,-0.021005,0.000360,0.000110,0.000113,0.003163,-0.000080
0.109500,0.005190,-0.008168,-0.006862,0.000515,-0.000229,0.000100,0.002514,-0.002999
0.110000,-0.006848,-0.015300,-0.047529,-0.000229,-0.000063,0.000004,0.002514,-0.000080
0.110500,-0.018949,0.005885,-0.023823,-0.000202,0.000105,0.000009,0.002190,-0.001053
0.111000,-0.008841,-0.007048,-0.043961,-0.000230,-0.000028,0.000062,0.001866,-0.000729
0.111500,0.009168,0.013001,-0.030836,0.000433,0.000129,0.000024,0.002190,-0.001377
0.112000,-0.000882,-0.013988,-0.027354,0.000342,0.000060,-0.000016,0.003487,-0.002674
0.112500,0.005192,-0.008442,-0.017496,-0.000054,-0.000387,0.000010,0.002838,0.000244
0.113000,-0.011014,0.008052,-0.018006,-0.000150,0.000031,-0.000212,0.002514,-0.001702
0.113500,0.009108,-0.010788,-0.021530,0.000117,-0.000189,-0.000183,0.002514,-0.002026
0.114000,-0.003027,0.003522,0.009031,0.000485,0.000199,-0.000176,0.002190,0.001541
0.114500,-0.004959,-0.009432,-0.014318,0.000180,0.000027,-0.000129,0.003163,-0.002674
0.115000,0.001079,0.010517,-0.014310,0.000282,-0.000017,-0.000093,0.002838,0.000568
0.115500,0.003086,0.011480,0.005585,-0.000180,0.000140,-0.000036,0.003811,-0.001702
0.116000,0.009119,0.007938,-0.004575,0.000124,-0.000309,-0.000122,0.003163,-0.001377
0.116500,-0.002899,-0.008122,0.006491,0.000334,0.000259,0.000101,0.003163,-0.000404
0.117000,-0.008929,-0.011736,-0.000358,0.000173,-0.000006,0.000010,0.004136,-0.002350
0.117500,0.001112,0.015262,0.006317,0.000406,-0.000022,0.000051,0.003163,0.001217
0.118000,0.003196,0.013965,-0.010497,-0.000166,0.000084,0.000160,0.003811,-0.001702
0.118500,0.003281,0.000115,-0.012961,0.000280,-0.000108,0.000325,0.002838,-0.002674
0.119000,-0.020972,-0.021051,-0.000078,-0.000057,0.000235,0.000060,0.002838,0.000568
0.119500,-0.026874,0.001417,-0.015933,-0.000076,0.000122,0.000287,0.003163,-0.001053
0.120000,-0.020919,0.000251,-0.012990,0.000243,0.000113,0.000150,0.001866,0.000568
0.120500,0.017259,0.012737,-0.031107,-0.000136,0.000089,0.000107,0.002838,-0.003323
0.121000,-0.010867,-0.010305,-0.013031,0.000511,-0.000026,0.000151,0.002514,-0.002026
0.121500,-0.008889,-0.025948,-0.007106,-0.000044,-0.000301,0.000001,0.002838,-0.000404
0.122000,-0.016918,-0.011727,-0.013592,-0.000246,0.000183,0.000090,0.002514,-0.002674
0.122500,-0.004891,-0.004649,-0.027367,0.000065,0.000165,0.000012,0.002190,0.002190
0.123000,0.011117,0.007086,-0.031313,0.000399,0.000286,-0.000088,0.002514,-0.000729
0.123500,-0.002983,-0.005893,-0.024671,0.000242,0.000098,-0.000211,0.002514,-0.001702
0.124000,0.015115,-0.007417,-0.001627,0.000040,-0.000225,-0.000180,0.002838,0.000568
0.124500,-0.012943,-0.000049,-0.020755,-0.000236,0.000184,-0.000018,0.002514,-0.002350
0.125000,0.003066,-0.002577,-0.018150,0.000069,-0.000213,-0.000211,0.002190,0.000568
0.125500,-0.002931,0.001268,-0.017408,0.000331,0.000230,-0.000039,0.002514,-0.001053
0.126000,-0.000952,-0.004750,-0.024642,0.000107,0.000170,-0.000154,0.003163,-0.000729
0.126500,0.007188,0.018705,-0.010511,0.000371,-0.000360,0.000050,0.002838,0.000893
0.127000,-0.000865,0.011576,0.002757,-0.000316,0.000302,0.000132,0.003163,-0.003323
0.127500,0.003237,0.004768,-0.013263,0.000349,-0.000193,0.000214,0.002838,0.000244
0.128000,-0.020963,-0.013728,-0.009647,0.000639,0.000059,0.000064,0.003163,-0.002026
0.128500,-0.014931,-0.008218,-0.006904,0.000099,-0.000192,0.000006,0.004136,-0.001702
0.129000,-0.000802,0.007126,0.003612,0.000320,-0.000035,0.000244,0.003163,-0.001053
0.129500,0.003205,0.014046,-0.000159,-0.000069,0.000248,0.000247,0.003163,-0.003972
0.130000,0.000995,0.005690,-0.001474,0.000163,0.000097,-0.000233,0.003163,-0.000080
0.130500,-0.014900,-0.017413,-0.006442,0.000242,0.000140,0.000148,0.003163,-0.001702
0.131000,-0.011015,-0.008253,0.002572,0.000285,-0.000051,-0.000158,0.002514,0.000568
0.131500,-0.010949,0.003602,0.003083,0.000116,0.000358,0.000073,0.002190,0.001217
0.132000,0.007124,0.009278,-0.000884,0.000089,0.000226,0.000023,0.002838,-0.003323
0.132500,0.003170,-0.006998,-0.017113,0.000332,-0.000049,0.000071,0.003163,0.000893
0.133000,0.007191,-0.014314,-0.007476,-0.000177,-0.000065,0.000068,0.003811,-0.003323
0.133500,-0.022966,0.003651,-0.037127,-0.000073,0.000101,-0.000021,0.002190,-0.003972
0.134000,-0.000885,0.002338,-0.017394,0.000101,0.000138,0.000017,0.001866,0.000893
0.134500,0.011070,0.002248,-0.004686,0.000376,0.000176,-0.000145,0.002838,-0.003972
0.135000,-0.006931,-0.003378,-0.023970,0.000261,0.000284,-0.000014,0.003487,-0.001053
0.135500,-0.004976,-0.005068,-0.011566,-0.000316,-0.000272,-0.000245,0.002514,-0.002026
0.136000,-0.012894,0.002266,-0.040878,-0.000461,0.000104,0.000007,0.002514,-0.001702
0.136500,0.003088,-0.004965,-0.014720,-0.000083,-0.000183,-0.000156,0.002514,0.000568
0.137000,-0.000857,0.000171,-0.016878,0.000560,-0.000032,0.000073,0.002838,-0.006242
0.137500,-0.014915,-0.008118,-0.026992,0.000145,-0.000109,0.000006,0.003811,-0.000080
0.138000,-0.000843,-0.004755,-0.027375,0.000061,-0.000189,0.000011,0.002514,-0.002026
0.138500,-0.002794,0.005798,-0.020290,-0.000208,-0.000042,0.000182,0.003163,-0.005917
