"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
1.025000,0.006567,0.001923,-0.080975,-0.000420,-0.000456,0.000064,0.002190,-0.000404
1.030000,-0.013497,0.006939,-0.073274,-0.000240,-0.000209,0.000203,0.003487,0.003811
1.035000,-0.005518,0.025750,-0.036368,0.000050,0.000118,0.000274,0.001866,-0.000729
1.040000,0.012593,0.012575,-0.043627,-0.000124,-0.000198,0.000244,0.001541,0.000568
1.045000,-0.009490,0.002209,-0.056500,-0.000170,-0.000177,0.000233,0.002838,0.002514
1.050000,-0.007398,0.015257,-0.045691,-0.000190,0.000136,0.000521,0.003163,0.001217
1.055000,0.020456,0.000596,-0.045130,-0.000150,-0.000154,-0.000149,0.002514,0.001866
1.060000,-0.001498,-0.000267,-0.057065,-0.000189,-0.000221,0.000122,0.004136,0.002838
1.065000,-0.001533,0.020952,-0.026613,0.000023,0.000097,0.000218,0.002190,-0.000404
1.070000,0.032570,0.014796,-0.051537,0.000016,0.000045,0.000030,0.002514,0.001541
1.075000,-0.003575,0.000796,-0.040657,-0.000229,-0.000238,0.000010,0.002838,0.000568
1.080000,-0.007294,0.010483,-0.041739,-0.000121,-0.000581,0.000627,0.002190,-0.002350
1.085000,0.020523,0.012502,-0.034298,0.000012,0.000003,0.000082,0.002190,-0.000729
1.090000,0.002446,-0.007506,-0.047692,-0.000277,-0.000322,-0.000048,0.003163,-0.000729
1.095000,-0.011529,0.005842,-0.042990,-0.000239,0.000440,0.000323,0.002190,-0.002999
1.100000,0.022583,0.018557,-0.070998,0.000180,0.000018,0.000111,0.002514,-0.001053
1.105000,-0.005672,-0.000351,-0.024111,0.000095,-0.000257,-0.000129,0.003163,-0.000080
1.110000,-0.015582,0.005756,-0.012665,0.000092,-0.000122,0.000236,0.002190,-0.005269
1.115000,0.012398,0.010131,-0.034756,0.000001,0.000051,-0.000118,0.002514,-0.000404
1.120000,-0.009593,0.006726,-0.043828,-0.000289,-0.000150,0.000038,0.003163,-0.000729
1.125000,-0.011584,0.005690,-0.009603,-0.000097,0.000133,0.000239,0.002838,0.000244
1.130000,0.022518,0.023092,-0.054686,0.000063,-0.000011,0.000000,0.003163,0.002190
1.135000,0.002440,0.009005,-0.047596,-0.000189,-0.000165,-0.000013,0.003487,0.000568
1.140000,-0.013425,0.021241,-0.045432,-0.000108,0.000249,0.000551,0.002190,-0.002350
1.145000,0.018620,0.018606,-0.077318,0.000135,-0.000097,0.000192,0.002514,0.002190
1.150000,-0.009484,0.002239,-0.066600,-0.000218,-0.000093,0.000233,0.002514,0.002838
1.155000,-0.001536,-0.009680,-0.020067,-0.000138,0.000000,0.000180,0.002190,0.001217
1.160000,0.006513,0.013803,-0.057362,-0.000212,0.000059,0.000131,0.002190,0.002838
1.165000,-0.021421,0.009302,-0.065676,-0.000315,-0.000606,0.000394,0.001866,0.001866
1.170000,-0.005458,0.013967,-0.070055,-0.000392,0.000185,0.000295,0.001866,0.001217
1.175000,0.004459,0.005562,-0.040680,-0.000112,0.000044,0.000073,0.002190,-0.000404
1.180000,-0.003569,0.000837,-0.030430,-0.000272,0.000010,0.000097,0.003163,-0.001702
1.185000,0.000644,0.010334,-0.066430,-0.000367,-0.000318,0.000376,0.002838,-0.001377
1.190000,-0.007650,0.003311,-0.023659,0.000305,-0.000250,-0.000043,0.002514,-0.000080
1.195000,-0.011571,0.010265,-0.036818,-0.000314,-0.000168,0.000123,0.002838,-0.002026
1.200000,0.006428,0.001953,-0.037701,-0.000179,0.000063,-0.000011,0.001217,-0.002999
1.205000,0.000436,0.010461,-0.053845,0.000243,0.000035,0.000046,0.003163,-0.000729
1.210000,-0.021470,0.016236,-0.032251,-0.000368,-0.000501,0.000399,0.001866,-0.001377
